item_key,src_item_key,item_brand,item_category,item_desc,item_ebt,item_group,is_ingredient,is_recipe,is_expensed,legacy_lc,item_mfg,item_number,item_status,subgroup,tax_type,item_type,upc_size,category_id,group_id,subgroup_id,item_inactive_date,gl_category,start_date,end_date,is_referred,is_current,data_src_key,created_date,updated_date,created_by,updated_by
8840000000,9891,produce,event,matter,7585,role,471,1189,9160,agree,result,9459,644,clearly,4149,hour,usually,261,3726,429,,us,,,public,5374,3959,2023-08-31 02:35:26.572198,2007-01-23 09:53:09.409562,it,onto
8692000000,3329,new,begin,success,4987,action,8299,6689,5092,front,resource,7055,5834,close,172,chair,him,9967,6719,88,,age,,,even,8789,8588,2002-09-06 00:37:14.917380,2003-01-11 19:18:55.441721,design,executive
975000000,549,picture,hear,team,6570,body,4184,6952,8518,image,consider,3115,9240,available,6738,drive,side,6619,5634,3034,,stop,,,benefit,9238,8466,2017-10-04 04:39:23.456280,2009-02-25 15:23:04.228090,learn,option
5284000000,549,live,within,baby,7347,record,773,888,9913,leave,determine,5273,2255,physical,7079,require,plan,4050,3022,9038,,little,,,decide,6861,3511,2016-10-05 16:30:23.600759,1978-11-28 13:22:41.349145,become,TV
7551000000,5804,test,treat,interview,242,toward,1222,259,255,among,scene,3003,6209,bring,1298,base,American,359,6472,2331,,fly,,,her,6278,5344,1990-09-15 04:24:55.982971,1991-06-03 06:41:00.950410,chance,card
1054000000,911,growth,wrong,social,8452,sister,6396,812,7570,simply,organization,8573,9022,speech,232,save,strategy,8506,4588,7113,,son,,,or,9782,240,2017-11-12 18:21:42.880498,2003-03-06 03:58:31.089310,then,top
2597000000,5804,mission,recognize,win,7438,early,1991,5796,446,imagine,my,2592,817,buy,2611,law,analysis,8465,8878,5573,,meeting,,,owner,2098,9697,2003-03-16 13:40:17.369873,1998-01-11 16:02:08.133321,per,believe
3080000000,3132,news,despite,middle,3347,happy,1715,6418,131,add,single,841,1388,five,9437,study,organization,6094,2866,345,,husband,,,pass,8622,8762,1981-05-09 16:37:26.811323,1984-11-12 13:51:54.220595,office,role
7346000000,7330,close,about,question,1183,movement,5864,6574,1895,suffer,police,5210,1697,continue,5607,really,through,2194,9057,7851,,example,,,night,3954,6362,2019-05-10 14:25:12.220922,1992-05-05 06:05:45.204259,figure,cut
5322000000,911,process,federal,free,4505,agree,2917,8068,9215,method,right,4349,2012,democratic,9623,major,trip,361,6435,4114,,source,,,increase,1318,7623,2019-04-15 12:33:27.987903,2025-01-21 01:29:56.163488,support,old
