txn_key,txn_id,store_key,item_key,item_upc_key,detail_line_num,business_date,business_date_key,event_start_date_key,event_end_date_key,receipt_date_key,event_start_time,event_end_time,receipt_time,event_seq_id,data_src_key,txn_type,prd_type,target_line_num,actual_sales_prc,regular_sales_prc,sales_amt,rounding_amt,discnt_amt,discnt_reason,sales_qty,sales_qty_uom,selling_units,item_type_cd,item_desc,item_upc_cd,item_scan_mod,recalled_txn_id,sales_restriction,entry_method,invoice_num,receipt_prnt_cnt,shift_num,tax_level_id,vndr_model_version,vndr_nm,suspend_flag,training_mode_flag,sales_destination_id,cashier_id,prc_override_approver_id,override_prc,override_prc_reason,src_filenm,invoice_type,order_reference_id,order_system_id,register_id,status,promotion_id,prohibit_food_stamp_flag,cancellation_mode,merch_hierarchy,lottery_winning,created_date,updated_date,created_by,updated_by
85062078184610441408996886718558325760,1103000000,8599000000,4636000000,8647000000,7143,20214923,1867,63,264,4592,1975-09-04 09:59:13.581808,2001-06-04 19:52:13.116725,1992-07-15 05:43:24.700307,7577,7830000000,question,drug,7403,636324284488084889354.1128,264827741252561948425.5366,631516007279657623168.5492,529991895376016482148.4491,911561499108600442675.6290,anyone,681457901569954875236.9947,already,231559009931601720678.8241,during,few,7523000000,adult,-86825.45,model,sign,1084,2890,4400000000,868000000,why,coach,large,interest,6476,wait,crime,839667920845396309433.1379,or,his,enough,institution,step,5972,heart,price,wind,best,1548,988587912616144258904.6250,2020-06-09 03:11:06.353236,2011-09-30 02:44:58.310306,chance,Republican
78351859822571391888128881514004663119,9426000000,8839000000,9777000000,403000000,4701,20240211,2424,4863,9386,368,2022-01-21 09:41:56.902759,1998-11-07 18:08:30.381842,1999-11-04 06:11:40.102772,6422,7830000000,line,pressure,3053,794752625887528445706.6218,477038714982098550816.3205,477366547420242463643.3564,131192056088196516082.3389,811702550848568095346.3503,surface,463714209853983471790.1290,thought,187792494775946521202.4326,behind,ok,5341000000,on,53377.24,safe,pick,817,1054,9002000000,5743000000,which,note,beautiful,high,5179,why,say,496926446792154109185.7170,event,among,worker,woman,north,4847,hotel,hospital,great,color,6109,825392668254615502812.1152,2014-09-13 00:20:04.762147,1970-10-03 04:19:00.539519,buy,can
34674129995281920622103580021737951604,1257000000,8839000000,9434000000,4647000000,264,20218972,4960,6234,8746,297,2015-11-16 01:34:11.774596,2000-07-30 01:03:53.922237,1986-01-06 09:21:41.823695,6118,9105000000,stay,game,7442,944367894347665565784.9248,648379885557405710111.6847,541057852426100925691.2198,485870271386293748114.8799,522638291608043044546.0513,adult,547063587747852632490.6903,view,703144462379202924283.7775,magazine,because,1517000000,everyone,21313.66,note,entire,3196,4990,4825000000,8305000000,view,against,something,approach,1119,parent,than,290218062569806417390.5210,three,tax,man,glass,college,7064,add,south,share,safe,6631,853231331476656679360.5395,1992-08-08 13:38:32.484783,2020-11-04 03:24:35.800824,dark,true
54648956648517555877403279931329737394,4306000000,8839000000,422000000,403000000,8244,20209190,6025,4401,9848,4944,1993-08-12 10:50:24.819562,1984-01-21 17:38:38.660851,1999-03-04 01:20:19.577732,362,7830000000,affect,against,8103,471689466367275419074.8555,716703268276687705213.8983,636787781411228931117.1224,638413525767091658097.9862,272025439585709627787.5189,father,774192814577180475211.6764,others,709347645250403618895.3903,store,yet,1204000000,expect,-17901.5,soldier,phone,4555,5686,1735000000,3779000000,appear,tough,use,result,1359,beyond,Congress,534652646168868740912.7242,one,water,thing,pick,them,3555,system,political,assume,foreign,2375,908951865356395826593.9340,1982-05-30 08:22:27.113229,1979-06-04 18:05:05.157269,small,fine
36198500138014981039757371584721038194,4000000,8556000000,3742000000,27000000,4503,20229608,7476,6815,8700,8799,1973-12-08 18:55:59.960201,2023-06-23 02:16:10.561963,1993-01-26 18:49:36.678104,2919,9105000000,fish,alone,9804,651467637500830749998.6127,659132480597686716781.4328,604179057828323877088.2774,859118568112593276069.3649,521417349200652810344.4385,face,524770342585231862667.2564,myself,543233527350383280241.9124,walk,hour,6159000000,teach,-79309.52,sell,affect,4897,554,6592000000,6142000000,big,finish,my,society,6125,small,start,675811637588934465923.4407,mouth,wind,else,window,book,3349,meeting,subject,though,agree,7896,700257711823464626007.5819,1976-11-02 06:32:57.974954,1996-10-29 13:56:53.874387,president,which
80460454504527128565102407875061583217,3274000000,1270000000,8141000000,8647000000,5625,20226609,1087,8277,9319,6082,1978-12-08 16:11:19.445566,2007-05-05 11:19:36.658868,1994-09-14 13:18:19.230413,2974,841000000,field,certainly,4690,427484318634646386530.8100,458086398584754179431.0001,270317667970725694698.8092,517180153358702774815.9041,129305620003032373942.5983,natural,186735757261991251480.2981,believe,434707011133288852688.7812,leave,the,7691000000,back,-981.9,out,once,789,3858,9047000000,7854000000,charge,take,boy,policy,8503,newspaper,indicate,389338789151057034117.6639,performance,might,challenge,support,college,31,beyond,PM,institution,fish,567,471208020792407390814.6748,1991-11-04 13:56:34.460206,2008-07-20 09:07:47.240471,side,perform
65651919000156805778651058471216374607,8762000000,8839000000,6071000000,1220000000,6899,20218893,8462,5938,9646,7057,2018-02-02 13:26:22.914160,1973-07-03 04:19:18.487058,2002-06-08 05:31:32.270859,2764,964000000,language,news,791,330790343796926404000.0600,925903904805784617802.0405,604689274955961012834.7471,621744832683479609878.4845,297176801708649651673.5134,about,279305915592734874700.9634,and,481960008222026329096.4867,act,carry,3085000000,environmental,87665.78,soldier,upon,5557,7632,4860000000,9336000000,able,remember,impact,north,2951,every,also,153416573919466638286.7439,American,pressure,enough,sing,nature,6192,quite,nature,member,require,6281,672180877427474620222.0801,1982-07-27 19:21:54.690222,2021-02-14 05:11:42.565964,produce,eye
72665725793537321041570147330401885816,9774000000,8556000000,9414000000,8647000000,3498,20245098,8503,6124,2487,5785,2015-09-22 11:53:49.747615,1994-05-05 04:52:49.209954,1985-04-06 20:06:52.093469,5553,1318000000,lot,view,7589,692857618014491953696.3819,241196330691388800895.2289,319171486989169840090.1503,133126629330014711507.3851,829191446125572984848.3430,surface,986766574434372080815.2430,save,713946979297786810110.1817,take,western,3399000000,mouth,44896.21,network,movie,5885,849,7012000000,4153000000,back,kitchen,magazine,economic,3985,mean,toward,380470725676969447657.7921,activity,matter,decision,she,with,5888,site,lay,owner,town,8525,892976754844293089028.7020,1981-05-05 04:27:00.030782,2001-03-09 01:05:59.287214,although,include
44204705497486519564206215120136747146,8373000000,8556000000,3414000000,8647000000,7837,20246903,8936,5070,5283,7964,2019-02-20 10:51:39.538064,1982-07-03 17:45:18.813744,1981-05-21 05:02:01.450935,543,9105000000,trouble,five,1701,367291653631160717097.6396,540401557088880016045.9831,165304350318211189839.9207,744793824759615364666.1243,130319092400094343503.0285,can,844382316585161121014.8617,deal,772787250151661158139.6474,building,edge,5032000000,society,-99094.22,carry,what,9147,6340,2828000000,8000000,increase,argue,at,leave,464,increase,data,431447502903035494221.3321,course,after,list,least,certain,6012,hear,somebody,social,those,4453,772530599176651698748.7836,1990-03-14 08:59:43.506891,1989-09-25 10:50:19.550480,property,hold
14734413201020734248794066957106844458,3169000000,8556000000,1520000000,8647000000,386,20209856,1460,2797,4052,6527,2016-07-17 06:49:43.730477,2025-01-26 07:29:38.070590,1994-10-07 22:12:36.591692,6918,199000000,consumer,career,3408,336542688060811852814.9294,954868851961081196975.9206,189693196186056401158.2499,856606482410216595799.2861,649593308482269240226.5997,what,936515001475573685202.0229,ask,453388464150170011769.8986,describe,doctor,926000000,project,65457.91,director,have,3366,611,5813000000,4814000000,degree,support,next,call,8043,everybody,unit,179800609701976275345.7389,fall,state,guess,within,professor,4373,magazine,main,institution,street,3018,598274848457627178863.3614,2007-02-27 20:35:57.606195,1975-02-23 23:17:41.186916,her,lot
