txn_key,txn_id,store_key,business_date,business_date_key,data_src_key,discount_detail_line_num,target_line_num,discount_qty,discount_amt,discount_reason,discount_id_type,discount_id,discount_promo_code,approving_mgr_id,created_date,updated_date,created_by,updated_by
19888859134843157555027659105884827687,take,1340000000,20235412,3453,7970000000,9657,5214,40545.61,443478914053658718735.7338,deal,hundred,theory,3486,senior,2021-10-13 21:51:10.159958,1970-04-03 20:00:36.929530,bag,ahead
92327439315436209069970732563974680441,believe,3392000000,20223549,4686,7830000000,2058,6252,34365.8,984556459032518092293.0171,despite,machine,role,1084,hotel,2013-08-26 06:04:11.967436,2022-03-04 00:46:19.918666,myself,ever
44292615613851271859539670105553319532,car,2453000000,20230394,9608,8840000000,94,7846,26469.25,949896746370285041324.0543,use,as,sister,20,enough,1986-05-30 00:42:22.508551,1995-04-10 21:35:39.199775,owner,garden
62314903138284732007030032687826556727,easy,1270000000,20247638,1427,2808000000,4761,2897,97663.97,172347951615629109126.0445,although,almost,oil,1084,guy,1993-07-13 23:40:26.920504,1997-11-23 10:13:31.314070,information,force
93190720970153267495219492319323985267,person,8839000000,20224200,2938,2808000000,4154,3848,47297.38,676506120635261704443.8493,election,guy,matter,3486,early,1974-04-05 23:40:19.361966,1987-02-03 12:57:04.990901,defense,think
13131053469942872404135269225913372397,would,1270000000,20208615,1294,1318000000,7715,3777,44236.82,635881429299946871311.0159,Mrs,color,turn,4162,kid,1971-03-30 22:27:05.402820,2003-11-02 13:41:55.416149,democratic,front
65309301249960966889904425378322833579,stock,3392000000,20222154,1677,8840000000,5354,4425,-52783.53,815655122604587018690.1418,begin,southern,present,1084,citizen,2024-10-04 11:56:18.845957,1975-09-10 21:57:13.890057,executive,almost
17824575348839939774295500985877687434,fund,8839000000,20219267,59,841000000,5731,2964,-38119.61,480341748666216177552.2378,security,rule,quickly,1211,along,1999-12-22 18:11:13.138981,1985-10-09 14:56:05.954628,wrong,inside
93942619294942275185142278535457863025,figure,6650000000,20216593,6846,8840000000,8911,31,90712.32,526737782852101034118.0438,prepare,family,agree,1084,father,1989-07-11 23:44:30.473953,1991-12-31 01:38:09.739665,within,natural
60936281217267992790336606311122317982,understand,1340000000,20221098,2799,7830000000,9723,3077,-98142.78,351067281334941417980.6370,pass,either,call,3452,yourself,2006-09-01 00:05:57.263017,1982-01-05 20:01:05.191287,end,possible
