txn_key,txn_id,store_key,business_date,business_date_key,event_start_date_key,event_end_date_key,receipt_date_key,event_start_datetime,event_end_datetime,receipt_datetime,data_src_key,txn_type,total_gross_amt,total_net_amt,total_tax_amt,total_discount_amt,discount_flag,age_verification_flag,cust_key,store_operator_key,suspend_flag,training_mode_flag,shift_num,event_seq_id,register_id,created_date,updated_date,created_by,updated_by
71397633832886928126628740119105487311,responsibility,3392000000,20211113,8780,2534,4812,5779,1972-04-04 07:25:46.801295,2011-10-13 17:34:03.633747,1994-02-27 23:44:09.050895,1318000000,environmental,572580585149580367543.9073,273824278720881632885.8962,662123973814434378548.0186,310183503405911197199.6354,ago,want,effort,8070000000,clear,discuss,design,receive,this,1977-10-25 04:13:11.025326,1988-10-10 09:28:20.299307,yeah,like
94552128525248274966720217467938962371,race,6650000000,20240952,680,5703,3154,6885,1973-08-05 22:08:51.599153,2018-11-18 19:23:18.624905,1983-07-25 02:57:12.958186,9105000000,although,575849914181657123009.5349,952927633745842165143.4379,282757270694514196297.6063,907481783369442715689.5249,other,out,bar,5791000000,issue,next,several,bill,tonight,2000-06-01 08:39:42.907838,1995-08-29 10:52:02.325013,guy,yourself
15178495589515084805595819807665282808,nor,2453000000,20219564,6567,2318,9985,4714,1987-08-01 09:47:51.997433,2018-05-08 02:58:29.331142,1997-04-19 07:49:35.043284,1318000000,government,510922179264816558050.8132,352087684961486974358.7501,851378842790327064474.3637,200484841418676721683.4295,course,science,play,8146000000,ability,American,despite,possible,including,1988-05-16 01:26:31.368327,1988-04-15 22:08:26.870793,year,way
57609044972081024222168060232475066055,decision,1340000000,20202957,5059,3069,8631,3222,1994-11-05 02:54:54.920604,2018-07-17 06:57:31.908609,2012-06-11 11:55:31.386242,7970000000,husband,475679952720016036931.4741,677566235359032247126.6617,967019379084333337583.7137,462855556888569479698.3638,issue,apply,bar,7658000000,necessary,success,another,brother,bit,2000-08-27 17:29:02.450911,2009-08-29 08:43:33.345964,lawyer,necessary
91096257572682055962023815824108445860,ability,7105000000,20218516,4550,653,8576,5376,2012-12-28 13:37:25.922413,2003-02-01 15:39:13.108267,2021-04-09 09:17:54.366333,964000000,technology,630803457157643751517.2688,803490733632815128554.0223,827825981132219598783.2387,181318159251423052609.5035,operation,Congress,effort,8130000000,analysis,south,local,there,area,2013-06-20 06:02:18.694991,1980-01-08 01:22:28.524155,will,discuss
61016375728879691807368313939517315784,third,1340000000,20236233,5434,4198,9899,8183,1974-03-02 00:37:28.744228,1990-09-17 04:14:53.835510,2012-12-04 11:50:52.265550,7830000000,house,248966614066709050106.4090,423928578684072946515.4640,116414804584015838466.4839,988626215655528789558.2072,better,foot,experience,9858000000,above,national,return,loss,follow,2023-07-08 01:19:27.344222,2017-03-29 22:03:01.667298,coach,determine
20530386869432053004068687497356760267,return,8556000000,20229220,4738,2233,6051,527,1979-06-03 15:42:18.802416,2008-02-10 10:21:32.700085,1992-10-15 11:43:14.059602,8840000000,hair,527953141017868917496.9340,545644202410614356661.4100,447313493781000841341.2486,871994484030974297405.1405,candidate,large,tree,8130000000,forget,language,left,you,her,2011-07-09 01:18:44.758511,1988-05-24 20:31:14.698055,floor,learn
93953989372751142290057395017280138662,surface,7105000000,20246303,6989,7121,9201,3486,1979-06-04 18:15:18.916151,1993-09-09 08:02:58.031605,2010-02-25 20:10:38.544922,7830000000,hope,145446653882342097245.0246,500369607142791739644.3451,710932379361253505795.9902,215667783022461247650.8196,listen,thousand,article,9941000000,politics,suffer,early,per,maybe,2010-05-09 20:26:59.095965,2000-09-08 05:39:17.128612,budget,situation
62934247613548081966996395718795021567,hour,6650000000,20220821,5871,4258,6172,2332,2011-11-13 09:18:47.552896,1971-01-08 07:29:31.228602,1987-04-05 06:54:39.975131,1318000000,power,244827124669117098502.8408,790477561686909095421.4855,170068869305451618002.2335,236367562097475481011.6381,grow,medical,play,9858000000,such,position,sea,day,under,1973-11-26 09:28:01.056005,1986-10-02 11:53:28.297663,big,and
25444110352551290207833283424644285231,remain,6650000000,20223005,3064,8321,7764,4399,1971-09-28 14:31:02.206639,1987-09-22 10:59:20.704884,2007-06-07 12:22:12.130661,7970000000,rate,812956097023438099707.0530,511791263114558647265.4004,136648195855871776082.3587,885576377479414225067.2334,wide,difference,article,8146000000,admit,seven,specific,wish,style,1986-10-09 01:19:40.926405,1999-03-17 03:56:57.104823,hair,main
