txn_key,txn_id,store_key,business_date,detail_line_num,business_date_key,event_start_date_key,receipt_date_key,event_end_date_key,event_start_time,event_end_time,receipt_time,event_seq_id,item_key,item_upc_key,txn_type,prd_type,regular_sales_prc,actual_sales_prc,sales_amt,rounding_amt,discnt_amt,discnt_reason,sales_qty,sales_qty_uom,selling_units,sales_restriction,item_type_cd,item_desc,item_upc_code,entry_method,recalled_txn_id,tax_level_id,suspend_flag,training_mode_flag,invoice_num,receipt_prnt_cnt,sales_destination_id,shift_num,update_revision,cashier_id,overriding_cashier_id,position_id,prc_tier_cd,service_level_cd,time_tier_cd,vndr_model_version,vndr_nm,invoice_type,register_id,status,prc_override_approver_id,override_prc,override_prc_reason,promotion_id,prohibit_food_stamp_flag,cancellation_mode,ingest_time_stamp,src_filenm,data_src_key,created_date,updated_date,created_by,updated_by
520151570995730167292915541951,1979000000,8839000000,20244039,2609,9575,2082,5868,1823,1974-07-06 17:40:56.238210,2004-07-15 18:51:34.295457,2012-01-20 13:42:07.662819,9486,159000000,861000000,forward,far,3299.71,81584.46,14671.24,18001.85,they,nation,-71489.89,pretty,sort,recently,themselves,yard,3870000000,camera,26497.29,9160000000,huge,people,8189,9681,1847,7568000000,6668,program,civil,8166,8055,2852000000,child,grow,kind,reason,4005,include,difference,59655.68,ago,by,treat,too,2000-02-06 19:14:16.649187,structure,841000000,2007-11-29 05:33:26.575735,2011-05-28 19:08:28.415403,read,affect
796650633987344813706222210053,2454000000,1340000000,20243663,6680,2272,1920,2474,9039,1994-03-30 19:27:30.419555,2000-09-03 00:34:42.715577,2004-10-30 12:29:18.893478,8533,8053000000,3055000000,statement,push,88493.1,75121.79,-18606.4,54540.47,available,son,71159.26,prove,feel,mind,test,my,4994000000,man,-69677.45,9497000000,activity,both,1087,1452,5106,9094000000,9522,beyond,plant,9562,8461,5956000000,learn,alone,Democrat,image,2355,brother,upon,48031.7,just,pick,accept,morning,1983-04-04 09:43:14.196221,policy,1318000000,2020-10-31 21:46:20.874048,1990-01-07 11:05:53.356853,reflect,though
793632567051487874769221691743,2364000000,7105000000,20237365,3236,6860,5600,3101,6982,1983-07-29 23:06:15.959811,2013-12-04 07:14:01.063569,2013-06-29 19:55:33.621636,523,7133000000,4957000000,range,their,-53191.15,-82233.72,66947.89,20851.39,claim,low,-91785.14,early,where,get,if,yourself,213000000,try,6094.7,7011000000,for,chance,2834,5429,7089,2544000000,1854,sea,record,5356,3515,4687000000,door,minute,attorney,entire,2741,spring,itself,91385.4,no,road,professor,hundred,1972-06-06 23:14:59.994872,see,1318000000,1975-08-09 07:33:01.596712,2001-04-06 08:49:41.791409,full,rather
512227027576356884499763123038,9967000000,7105000000,20217583,1045,4376,3079,4105,5688,1995-06-19 03:07:25.654259,1993-01-04 23:49:41.243833,1979-10-08 02:21:39.860764,2293,8274000000,9998000000,else,specific,2265.3,78476.49,-26394.51,13481.7,open,though,-24029.44,those,realize,draw,reduce,since,2051000000,test,-65669.26,4761000000,month,explain,6679,2200,915,3343000000,7614,imagine,your,7622,5599,1666000000,Republican,concern,than,into,3823,color,citizen,-82899.47,campaign,evidence,the,central,2014-03-14 12:17:34.766061,better,1318000000,1982-07-05 07:48:38.391140,1980-09-08 08:41:13.331174,magazine,identify
200265710634752381288861620856,4597000000,1340000000,20237838,1644,2272,6079,6461,9901,1981-10-22 00:25:00.775089,1997-02-15 20:08:33.933145,1984-06-13 08:31:40.005993,4057,1807000000,8205000000,memory,else,29346.99,-1776.44,46164.33,-40248.5,ability,between,-52106.0,evening,sit,sound,government,share,9716000000,business,94366.51,1740000000,president,what,8481,2339,2157,7573000000,9962,any,relate,8058,5729,1035000000,argue,would,travel,citizen,6023,establish,cover,11021.51,word,attorney,show,whom,1983-12-06 16:44:57.222257,stage,199000000,2002-04-04 22:19:54.373335,2012-03-17 13:04:34.459039,whatever,ability
197095142907143484938961591073,8514000000,2453000000,20221314,9442,4878,1953,7484,3520,1970-11-26 03:30:34.884467,1994-11-28 03:10:58.099897,2003-04-07 13:10:52.641949,4004,3113000000,5889000000,oil,common,78693.54,56439.86,-29068.16,-9239.19,probably,for,-98231.82,camera,management,my,conference,wrong,7854000000,central,-31305.46,5554000000,need,couple,8498,9691,2448,9756000000,8317,spring,these,5143,8955,5467000000,save,reach,receive,she,5481,mission,who,-73121.53,energy,or,yard,note,1972-10-12 18:46:57.621259,fact,9105000000,2013-06-06 07:24:19.478087,1997-06-12 09:08:33.311725,full,late
719651654019252873793391867541,1846000000,8556000000,20223771,1433,6144,1258,7066,1243,2018-05-21 16:08:17.386525,1989-03-13 03:22:39.660273,1988-07-30 03:24:04.536738,4233,3468000000,9322000000,hard,compare,-9039.6,97617.58,-22737.11,-40148.89,likely,within,81578.58,despite,blue,word,final,feel,3906000000,church,16528.61,586000000,center,within,414,7576,6481,2074000000,3006,son,bar,1645,1358,4637000000,top,threat,result,executive,1667,quality,cover,33833.47,later,reveal,pretty,together,1984-02-17 23:03:20.274309,street,7830000000,2017-11-06 04:33:55.594883,1999-01-12 03:29:46.415784,national,recent
284654682681446692819519591350,2666000000,7105000000,20228342,2365,4376,6779,5406,9926,1982-04-22 22:21:44.556691,2016-04-04 07:40:24.074906,1977-11-12 11:46:48.437471,497,6712000000,8253000000,million,usually,-950.77,-8072.75,19186.66,52602.43,heavy,early,34223.68,main,short,research,for,certainly,297000000,some,67050.44,2416000000,quickly,attack,2773,4948,1152,7501000000,7881,hard,suffer,7801,1103,5718000000,step,gun,foreign,serious,62,south,difficult,-60611.45,opportunity,popular,discuss,write,2002-10-30 14:15:38.816868,west,8840000000,2008-05-27 00:03:19.112395,1977-09-04 21:52:33.447854,modern,really
602894641464417747846586145820,8639000000,3392000000,20232339,3500,9575,5390,8046,7009,2008-01-29 03:20:53.137270,1993-06-06 15:19:00.815777,2002-05-07 09:50:55.701921,6864,6070000000,6901000000,begin,social,-54291.98,-55292.71,-48963.38,-85149.87,available,knowledge,-98194.21,fall,group,herself,shoulder,will,9395000000,traditional,69946.94,2894000000,never,focus,7161,8367,7508,1281000000,4295,author,event,1929,8452,2566000000,could,out,value,story,2356,another,true,69704.99,pick,population,evening,ability,2017-05-22 15:01:45.412565,pass,9211000000,2001-08-17 15:02:43.265625,2002-11-07 13:08:35.582623,wonder,exactly
664808794758361218633830451360,1326000000,2453000000,20208878,4043,2272,9850,7751,3837,1982-11-07 21:15:49.424938,2011-04-26 04:33:21.188529,2000-05-13 08:42:04.487824,7734,9341000000,6919000000,measure,tend,-49625.1,-69010.12,82074.84,-67228.38,usually,business,47722.5,cup,series,out,network,whether,238000000,report,79881.7,5396000000,and,seek,2532,6385,1142,1022000000,3286,make,hard,9353,5338,3146000000,play,computer,bank,trouble,6783,than,goal,-1583.31,computer,population,green,space,1975-06-16 10:09:00.668129,everybody,8840000000,1987-10-12 23:24:48.651086,1989-03-16 00:54:57.583913,then,rather
