txn_key,txn_id,store_key,business_date,data_src_key,txn_type,total_gross_amt,total_net_amt,total_tax_net_amt,total_tax_sales_amt,total_grand_amt,total_tax_exempt_amt,total_tax_forgiven_amt,sub_total,age_verification_flag,cust_id,store_operator_key,suspend_flag,training_mode_flag,shift_num,cashier_id,business_date_key,event_start_date_key,event_end_date_key,receipt_date_key,event_start_time,event_end_time,receipt_time,event_seq_id,register_id,created_date,updated_date,created_by,updated_by
74888777914990031655920383431130760424,debate,8839000000,20243893,9211000000,over,93102657361242240557670466534532453.019,13374052711677125906115352643824169.463,17996742390930860529324548491127949.026,28529705981614623647826526878389450.746,60866693451414642572141962207419781.863,31956591042038681179839839746569787.915,53456870105648349094064829893129825.050,99413.39,for,now,5791000000,decision,point,person,fact,7360,8360,236,4498,1972-05-26 17:42:56.212197,1977-04-17 13:19:51.522306,2017-04-27 03:09:28.431342,gun,half,2020-05-02 16:48:48.574496,1996-08-06 07:22:56.762413,pay,him
32880718489885936542706095789326263127,science,1340000000,20247109,8840000000,they,60900844653263529583717063890082600.605,34332532510963537883849685031159439.940,54491335042100415931780531644717846.407,10932319692256224628439129572501569.598,36954558832817144568527288659921841.448,70657652914618923961863427055349890.845,42556582009097404915502435738008282.551,76601.18,player,poor,7658000000,discussion,product,pay,list,4878,9435,6954,7766,1992-05-26 13:57:15.269017,2000-07-23 00:44:28.775745,2001-06-03 00:34:24.174147,doctor,conference,1988-11-23 06:29:32.372118,1974-03-25 23:29:22.856880,discover,west
95501326142656307206335124395793770085,onto,6650000000,20245455,7970000000,return,59595188482791578131640646592091037.733,49218318125661574078051774761923334.689,18149388316275742100887745143590335.659,83128615173777000990914736679592009.053,34666246378438534990498764877536199.751,11638745974277015359199306703045097.655,71063816895601532510869719208849169.917,-72186.82,true,now,6660000000,though,up,wrong,animal,4376,565,6707,8222,1981-11-09 19:15:09.403672,2019-01-20 07:43:53.861226,2009-09-17 11:16:42.562731,total,add,1980-07-31 12:30:23.969366,2022-03-26 17:40:30.422586,possible,house
55346272425166266804277953179471021786,rate,1270000000,20227241,1318000000,answer,83015170327800497933254225840750635.642,92076623268231114324805298196497905.326,21745221398519355705600505005598518.933,80459306003151506073262188073392081.224,87529168405739032336225827055738798.333,30138052963009100585236517523056932.057,69301180685442455056290383119823672.879,79143.68,picture,now,5893000000,base,relate,game,plant,1431,1646,1762,8379,2010-04-13 10:06:57.429155,2023-07-11 02:13:50.136622,1983-03-06 14:21:08.598716,maybe,shake,1975-08-06 07:21:51.261472,1977-08-06 11:49:43.779199,sound,easy
54830117514518691746576773235757399969,same,8599000000,20232644,7970000000,magazine,77196658855907042293789981530336111.596,47704435170442010724363121130607822.782,87361660205124338029538450253639021.965,12437419347298023330205910238629855.837,97462710846814495263458784514288711.282,83086668303202996516094419319766728.564,83571546755060295402148525765431249.575,-81965.24,message,recently,6660000000,seven,church,all,ask,9575,6494,4809,3971,1971-06-06 18:57:04.418017,1981-09-30 18:41:32.460047,2020-06-05 00:44:08.651494,police,anyone,2001-05-19 21:27:24.099667,1991-08-17 20:22:36.829054,stage,ten
60877276156265987792012255067792068168,major,2453000000,20218601,1318000000,teach,83466978284364243578664715747901078.278,36831995862834170281804481235404083.481,51940847919823491272352823064956292.974,48827773347111645795654184093678295.546,16036674413254836704096591108362287.304,44797581434872997513110826164775103.642,81431865442037671840150561862601021.855,-71592.22,baby,recently,6660000000,around,sound,take,and,9575,5396,2430,8768,1988-06-20 08:59:54.109910,2003-01-01 21:17:01.464566,2002-08-23 14:54:38.884985,whether,force,2001-11-16 21:08:46.124868,2016-07-24 13:43:45.313065,one,staff
90642185595392842214414704533664005668,tend,7105000000,20214898,9211000000,line,87783783507922192867800118549873120.526,37468487996869694506500586197241262.195,98485877314159112514059565109791056.697,77478848248449949852014952552160336.421,46976743314707853869142305534869456.058,94002362013361722344568984898939354.202,64537322122831986011485763119302363.594,16303.49,on,bar,9858000000,cause,Congress,successful,rate,6860,561,7641,9717,1974-02-06 14:14:07.053632,1972-11-19 13:48:18.891015,1992-04-23 19:00:52.875759,scene,federal,1991-01-02 06:12:41.455494,2020-04-08 14:33:09.982786,maintain,wear
82778849469781134311726265681914882735,just,3392000000,20201051,7830000000,debate,59350153153026625711724522055027553.491,25882379135875015570081671718900957.177,64558565154914221114076866205206156.027,47281783133799115098955102326878344.496,35408367222512631125723629537045527.041,33522033737171490159426491764327521.897,38629011883277715791513418933753332.034,77037.31,use,bar,8070000000,evening,size,conference,help,4878,715,485,6271,1971-07-02 04:56:22.225794,1990-04-14 02:40:19.350187,2022-06-11 10:57:19.123838,tell,quite,1983-03-22 20:19:18.367492,1973-12-13 03:21:34.375504,paper,far
98890919149471870853466022861526569357,next,1340000000,20225427,7830000000,person,96664627656649127510910422651044628.064,17108973475933126536207258912418387.223,24742125419230344658278331352201947.463,36364815957066194155743311134355151.559,42194869177807891058290350044289431.115,95529248599803539925965156237532239.481,37201666517138992416776502992390025.578,-89970.27,draw,play,5791000000,candidate,seek,many,character,6860,3252,4303,2175,2009-11-10 03:44:15.791250,2012-09-13 22:11:38.751320,2020-04-08 02:45:58.196012,they,that,1989-05-26 17:06:48.968217,1990-02-08 12:48:46.855581,charge,next
72141918717875738700238068007408929878,character,8839000000,20226351,199000000,fire,12011878679377063509017169167055411.174,17644311075189293489901304187427755.582,53362467238145637700763042608095363.471,34851350005373715406055691191206213.294,78515072490022644792446188724692870.377,62569779107808490295815157769427446.939,69349368526022389784733784462939377.481,41125.46,ever,poor,5893000000,treatment,little,follow,many,6144,3075,3312,7568,2000-02-13 02:06:55.779675,1976-12-10 07:31:52.006933,2004-11-21 18:00:46.749194,ok,nice,1997-10-11 14:42:35.768967,1995-12-19 04:26:55.782871,medical,part
